stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Spermatocyte,T_cell
24hpf,0,2,0,0,0,1,1,0,4,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0.28,1.41,0.56,0.28,0.28,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0,1.11,0,0
3Month,0,0.1,0,0.21,0.1,0,0,0,0,0,0,0.1,0.1
22Month,0,0,0.55,0,0,0.14,0,0,0,0,0,0,0
