stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,3.1,0,0,0,0,0,0,0,0,0.56,16.91,9.86,0.56,0,0,0,1.13,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0,8.14,1.11,0,0,0,0,0,0,0,1.11,6.29,9.99,0,0,0.37,0,0,0,0,1.11,0.37,0,0.37,0.37,0,0,0
3Month,0,0.21,15.08,0,0.1,0.21,0.52,0,0.83,0.52,0.52,0.52,0.94,14.67,1.25,0,0,1.98,0,0.1,0.31,0,0.1,0.42,0,0,0.52,0.21,0.21
22Month,0,0,5.6,0,0,0.14,0.68,3.69,2.19,0.27,0.14,0.27,0.27,7.52,2.32,0.14,0,0.41,0.14,0,0,0,0,0.14,0,0,0,0,0
