stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,0,0.28,0.28,0,0,0.28,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0
3Month,0.21,0.73,2.18,0,0.1,0.73,0.62,0,62.72,0.62,23.4,0.52,0.31,0.62,0.21,0.1,0.52,0.42,0,0,0.21,0.31,0,1.14,0.73,0.1,0.52
22Month,0,0.14,0.55,0,0,0,0.41,0.14,21.86,0,16.81,0,0.27,0.41,0,0.55,0,0,0,0,0.14,0,0,0,0.27,0,0.27
