stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0.28,0.56,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,9.3,4.23,0,0,0,0.85,0,0,0.85,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0.74,0,0.37,0.37,0.74,1.85,0,0,0.74,0,1.85,0,0,0,0,1.11,0,1.85,0,0.37,0,0,0,0.37
3Month,0,0.1,0.31,2.5,0,0,0.1,0.62,0.62,0,4.37,0.73,0.1,1.14,0.21,0.83,1.56,1.25,0.62,0,0.31,0.1,0.21,0,0.21,0,0,0,0.83,107.87,0,0,0,0.31,40.77,0.83
22Month,0,0.14,0,0.41,0,0,0,0.14,0.41,0.27,5.6,0.27,0.14,0.96,0,0,0.68,0.68,0,0.27,0,0.14,0,0,0.14,0.14,0.14,0,0.27,14.21,0,0,0,0.14,0,0
