stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,1.25,0.1,0.62,2.08,0.42,0.1,0.62,0.42,0.1,0.21,0.1,0.21,0.1,0.1,0.31,3.54,0.1,68.34,0.21
22Month,0,0,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0,0.41,0,0.14,0
