stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0
72hpf,8.46,1.41,0,9.58,2.82,6.76,0,0,0,0,0,0.28,0,0.28,0,3.95,21.7,2.54,19.17,0.56,0.56,0,1152.19,192.78,0.28,0.28,19.45,0,0,5.64,46.22,11.56,3.95,0,0
21Day,3.33,0,0.37,8.51,0,7.77,1.11,0.37,0,0,0,0.74,0,1.11,1.85,0.37,4.81,1.11,8.51,0,1.11,0,187.58,38.85,0.74,0.74,1.85,3.7,0,1.85,75.11,8.14,2.59,0,2.22
3Month,0,0,0,0.31,0,0,0,0,0.1,0,0,0.42,0,0,0.1,0,0,0.73,0.1,0,0,0.1,1.66,0,0.1,0,0,0,0.42,0,0.73,0,0.21,0.1,0
22Month,0.14,0.14,0,0.27,0,0,0,0,0.27,0.14,0,1.91,0.41,0,0.14,0,0,0.27,0.55,0,0,0,0.96,0,0,0.27,0,0,0.41,0.14,10.93,0,0.41,0,0
