stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,7.33,0.28,0,0,0,0.28,0
21Day,0.37,0,1.48,0.37,1.11,0,0,0.37,0.37,0,0.37,0.37,1.11,1.85,0.37,30.34,1.11,0.74,1.48,0.74,0.37,0.37
3Month,0,0,0.52,0,0,0.94,0,0.21,0.21,0,0,0.21,1.35,0,0,0.1,0,0,0,0.83,0,0
22Month,0,0.14,0,0,0,0.27,0.14,2.46,0,0.14,0,0.14,0.27,0.27,0,0,0.14,0,0,0.41,0,0
