stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0.85,0,0,0.56,0,0,0,0,0,0,0
21Day,1.11,0.74,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0
3Month,0.52,1.04,0.31,0.21,0.1,0.42,0.1,0.31,0.31,0.1,0.52,0,0.94,0,0.1,0,0.21,0.1,0.73,0,0.21
22Month,0,0.27,0,0,0,0.82,0,0,0,0,0,0.14,0,0,0,0.14,0.14,0,0,0.14,0
