stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
72hpf,0,2.25,0.28,0,1.41,0,0.28,0,0,0.28,0.28,4.51,0,0.56,0,0,0
21Day,0.37,0,0,0,0,0.37,1.85,0,0,0.37,0.37,19.24,0.37,0,0,0,0.37
3Month,0,0.21,0,0.42,0,0,1.14,0.52,0.1,0,0,0.1,0,0,0.1,0.1,0
22Month,0,0,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0
