stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,57,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0
72hpf,159.24,1.13,0,6.48,0.28,2.25,0,0,0,0,0,0,0.28,0,1.69,12.97,0.56,7.05,0,0.28,0,26.49,15.5,0,0,8.17,0,0,3.38,0,0.28,0,0,0
21Day,57.72,0,0.37,13.69,0,1.85,0,0,0.37,0,0.74,0,0.74,0,0.37,7.03,0,7.77,0,0,0.37,9.62,7.03,0,0.37,3.33,0.74,0,0.74,0.74,0.74,0,0,0
3Month,0.52,0.21,0,2.6,0,0,0,0.31,0.73,0,2.5,0.52,0,0.31,0,0.94,0.52,0.52,0.1,0.1,0,0,0.1,0,0,0,0.1,0.31,0.1,0,0,0.31,0.31,0.31
22Month,0.68,0.55,0,1.5,0.14,0,0.41,0,0.55,1.78,22.27,0.14,0,1.5,0.14,0.55,1.23,1.23,0.14,0.55,0.41,0,0,0.14,0,0.27,0,0.27,0.41,0,0,0,0,0.27
