stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,8,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0.28,0.28,0,0,0,0,0.28,0,0,0,0,0,0,1.69,0,0.56,0,0,0.28,0,12.12,1.69,0,0,0.85,0,0,0.56,0,0,0
21Day,0.37,0.37,0,4.44,0.37,0.74,0,0.37,0,0.37,0,0,1.48,0,1.11,1.48,0.74,3.7,0.74,4.44,0,0,1.11,0,6.29,1.11,0.74,0.37,1.85,0.37,0,0.37,0.37,0,0.37
3Month,0,0.21,0.31,5.1,0,0,0.1,0,0.1,0.62,1.14,0,9.05,3.74,0.21,3.02,0,0.83,1.04,0.42,0.1,0,0.31,0.62,0.42,0,0.21,0.31,0,0.42,1.98,0,0,0.52,0.62
22Month,0,0.14,0.14,0.82,0,0,0.41,0,0,0.14,0.96,0.27,24.6,1.78,0.55,5.19,0,0.14,0.82,0.55,0.14,0.96,0.41,0,0,0,0.41,0.68,0,0.27,0.55,0.14,0,0,0.41
