stage,Epithelial_cell,Erythrocyte,Hepatocyte,Macrophage,Neural_cell
72hpf,0,0,0,0,1.13
21Day,0,0.37,0,0.37,1.85
3Month,0.1,0,0.21,0.1,0.1
22Month,0,0,0.96,0,0.68
