stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.11,0.37,0,4.07,0.37,0.74,0,1.48,0,0.74,0,0.37,0.37,7.03,0.37,2.22,2.96,10.73,0.74,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,4.81
3Month,0.1,1.56,5.93,75.31,0.1,0,1.46,0.52,25.48,19.35,0.21,16.43,33.91,10.09,143.96,2.08,10.4,52.53,5.82,0.73,0.1,1.98,1.46,0.42,0.1,0.83,0.73,0,0.1,2.91,0.1,3.33,0.21,0.31,0,0,2.91,2.39,110.57
22Month,0.27,4.51,5.47,21.45,0,0,0.55,0.41,13.53,21.32,4.37,29.65,13.66,7.38,91.28,1.23,6.83,30.06,6.83,0,0.82,1.09,0,0,0.14,0.41,0.14,0.55,0,0.55,0,2.05,0.68,0,0,0.14,1.78,0,24.6
