stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,1.41,0,0,0,0.56,0.28,4.23,0.28,0.85,0.28,0.28
21Day,0,0,0,0,0,0,1.11,0,2.59,0,0.37,0,0
3Month,0.1,0,0.1,0,1.04,0.1,0,0,0.1,0,0,0,0
22Month,0.14,0.14,0,0.14,0.27,0.41,0,0,0,0,0,0,0
