stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,5.36,0.28,0,0,0,0,0,0
21Day,3.33,0,0.37,0.37,0.37,0,0,0,0,0,0,7.03,0,0,0.74,0.37,0,0.37,12.21,0.37,0,0,0,0.37,0,9.25
3Month,0,0,0,0.31,0,0.1,0.1,0,0,0.94,0.31,0,0.31,0.1,0.62,0,0.1,0,0.1,0,0.1,0,0.52,0,2.29,4.58
22Month,0,0.14,0,0,0,0,0,0.14,0.27,0.82,0,0,0.14,0,0.27,0.14,0,0,0,0.14,0,0.14,0,0,0,1.91
