stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,9,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,3.1,1.13,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0.74,0,0.37,0,0,0,0
3Month,0,0,0.52,0,0.1,0.1,0.21,2.6,0.31,0,0.21,0,0.31,0,0.1,0,0.31,0.1,0,0,0,0.83,0.1,0.21,0.21
22Month,0.14,0.41,0.68,0,0.14,0,0.27,7.79,0.68,0,0.96,0.14,0,0.41,0.55,0.27,0.14,0,0,0.14,0,2.73,0,0,0
