stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,9,1,0,8,1,0,0,0,0,0,0,0,0,0,0,29,1,3,6,0,0,0,5,2,194,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.89,0,0,3.38,7.89,1.13,0,0,0,0,0,0,0,0,0.85,2.54,2.54,0,1.41,0,0,0,1.41,32.98,13.81,0.56,0,1.13,0,0,0,10.43,0,0,1.13,0,0,0
21Day,2.96,0,0,4.07,5.18,1.48,0,0,0,0.37,0,0.74,0,0.37,0,0.74,2.59,0.37,3.7,0,0,0.37,0.37,14.06,3.7,0,0.37,1.11,0.74,0,0,3.33,0.37,0.74,1.11,0,0,0.74
3Month,0.21,1.35,1.35,48.99,2.29,0,0.21,0.42,1.66,2.39,0,36.61,3.43,0.21,4.06,12.38,2.6,3.02,3.43,1.04,0.1,1.35,2.39,16.12,0.83,0.62,0.94,0.21,2.7,0.1,13.73,0.83,0,0,0.73,1.04,379.77,2.08
22Month,0.14,1.23,0.14,24.32,0.27,0,0.14,0,1.78,0.68,0.55,13.12,0,0.14,1.5,3.14,0.27,0.68,1.91,0.14,0.41,0,0.96,3.69,0.96,0.55,0.14,0,0,0,4.65,0.55,0.14,0,0.27,0,0.68,0.41
