stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,19,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,9.58,1.13,0.28,0,0.28,0,0,0.56,1.97,1.69,0,0,0,0
21Day,0,0,0,1.11,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,1.11,1.11,0,0,0,0,0.37,0,0.74,3.7,0,0,0,0
3Month,0,0.1,0.1,1.04,0,0.1,0,0,0,0,2.5,0.31,0.1,1.04,0.1,0.83,0.31,0.52,0.1,0.21,0.1,0.1,0,0.31,0.1,0.1,0.31,11.34,0,0,0,0.1,0.1,16.23,0.42
22Month,0,0,0,0.14,0.14,0,0,0.14,0.14,0.68,5.19,0.14,0,0.96,0,0.27,0.27,0.55,0.14,0,0,0,0,0.14,0,0,0,0.82,0,0.27,0,0.14,0,0.14,0
