stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,2,44,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,2,39,0,2,0,0,0,0,0,0,0,0
72hpf,0.85,1.69,5.07,0,1.13,0,0,0,0.28,0,0,0,0,0,75.25,0.56,4.79,0,0,0,80.33,12.12,0.28,7.33,0,0.85,2.54,16.63,16.35,0.56,0,0
21Day,1.48,0,8.88,0.37,0.74,0,0.37,0,0,0.37,0.37,1.85,0.37,0.37,25.53,0.37,10.36,0,0.74,0.37,29.23,3.33,0,4.44,2.22,1.11,2.59,31.08,149.47,0.37,0,1.85
3Month,0,0.21,1.77,0.31,0,0.1,0.21,0.1,0,1.87,0.42,0.1,0.52,0.31,7.28,0.42,1.66,0.52,0.1,0.1,0.1,0.1,0,0,0.1,25.9,0.83,0.21,0,0,7.91,0.31
22Month,0.14,0.55,0.14,0,0,0,0,0.14,0,2.05,0.14,0,0.41,0,0.82,0.14,0.55,0,0,0,0.14,0,0,0,0,7.65,0.55,0.41,0,0,0,0
