stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,54,4,398,0,0,0,0,0,0,1,0,0,0,0,2,2,0,60,0,0,0,0,10,221,1,4,0,0,0,0,0,0,0,0,0
72hpf,4.23,0.56,127.4,0.56,1.41,0,0,0,0,0,0,0,0,0,0.28,11.56,0.28,80.89,0,0.56,1.13,0,14.37,15.5,0,45.1,0,0,7.05,0,0,0.56,0,0,0
21Day,2.22,0.74,39.96,0,1.48,0,0,0,0,0,0,0,0.37,0.74,0,8.14,1.11,64.38,0,0,2.96,0,4.44,4.81,0,23.68,2.22,0.74,0.74,0.37,0.74,0.74,0,0,0.37
3Month,0.31,0.42,6.87,0.1,0,0.1,0.21,0.83,0.1,0,2.91,0.52,0.1,1.14,0,8.22,0.94,17.16,0.31,0.1,1.04,0.1,0.21,0.1,0.1,0.31,0.31,19.56,0.21,0,0,0,0.62,1.56,0.42
22Month,0.14,0.27,1.64,0,0,0,0,0.96,0.96,0,6.29,0.27,0,0.82,0,0.68,0.55,4.1,0.41,0.41,0.41,0,0.14,0.41,0.27,0,0,3.55,0.27,0,0,0.14,0.55,0,0.14
