stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.07,0.28,0,0,0,0,0,0,0,0,0,0,0.85,6.76,0,0.28,0,0,0.28,2.54,0.56,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0.37,0,7.4,0,0.37,0,0,0,0,0,0,0,0.37,0,0,2.96,0.37,0,0,0,0,0.37,0.74,0,0,0,0,0.37,0,0,2.59,0,0,0,0
3Month,0,0.42,1.04,20.18,0.1,0,0.21,0.1,2.39,18.93,0,2.18,4.37,0.62,3.95,2.81,9.15,1.25,4.47,1.14,0.42,3.64,0.62,0.1,0.42,0,0.1,0.21,0.83,0,0,0,0.1,0.73,0.31,0.42
22Month,0,0.96,0.82,11.21,0,0,0.55,0.14,2.19,24.73,5.06,5.6,0.96,0.41,5.88,0.68,5.19,1.64,3.96,0.14,0.55,0.14,0.41,0.14,0.96,0.27,0,0,0.82,0.14,1.64,0,0,0,0,0.27
