stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0.56,0.28,0,0,0,0,0.28,0,0.85,2.54,0.28,0,1.13,0
21Day,0.37,0,0.37,0,0,0,0,0,0.37,0.74,0,0,0,0
3Month,0,0,0.21,0.1,0.42,0.21,0,0.1,0,0,0,0,0,0.21
22Month,0,0,0,0,0.55,0,0,0,0,0,0,0.14,0,0
