stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,33,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,1.97,0.28,0,0.28,0,0,0,0,0,0,0.85,1.13,0.28,1.41,0,0,0,5.07,6.2,0,0.28,0,0,0.85,0,0,0,0
21Day,0.37,0,1.85,0.74,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,1.85,2.59,0,0.37,0,0.37,0.37,0,0,0,0
3Month,0,0.1,0.83,0,0.1,0,0,0.31,0,1.46,0.1,1.04,0,0.73,0.31,0.31,0,0,0.1,0.1,0,0.31,0,0.21,24.76,0.1,0,0.42,23.72,0.62
22Month,0,0.14,0.27,0,0,0,0.14,0,0.14,4.92,0,1.09,0,0,0.41,0.27,0.27,0.27,0,0,0,0,0,0,0.55,0,0,0,0,0
