stage,Epithelial_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oocyte,Osteoblast,Primordial_germ_cell
72hpf,0,0,0,0,0,0.56,0,0.85,0
21Day,0.37,0,0,0,0.37,0.37,0,2.96,0
22Month,0,0.14,2.46,0.27,0,0,0.82,0,0.27
