stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,0.28,0,0.28,3.38,0,0,0.56,0
21Day,1.48,0.37,0,0,0,0,0,0,0,0.74,0,0.37,1.11,0,0,0,0
3Month,0.73,0,0,0.1,0.1,0,0,0.21,0.21,0.1,0,0.1,0,0,0.73,0,0.21
22Month,0.27,0,0.14,1.23,0,0.55,0,0,0,0,0.14,0,0,0.14,0,0,0
