stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,1.69,0.28,0,6.76,4.23,0,0,1.13,0,0,0.56,0,0,0,0,0
21Day,0.37,0,0,1.48,0.37,1.85,0,0.37,0,0.37,0,1.11,0,0,0.37,0,1.48,0,0,4.07,3.33,0,0,1.11,0.37,0,0,0.37,0.74,0.37,0,0
3Month,0,0.1,0.1,1.14,0,0,0.1,0.31,0,1.66,0,0.1,0.31,0,1.87,0.52,0.73,0,0.1,0.21,0,0.1,0.1,0.1,0,1.98,0,0,0.1,0.73,11.55,0.21
22Month,0,0.27,0.14,0.14,0,0,0.14,0.68,0.27,8.47,0.41,0.55,0,0.14,0,1.09,0.55,0.14,0.27,0.14,0,0.14,0.14,0,0,0.27,0.14,0,0,0,0.14,0.14
