stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0.28,0,0,0,0,0.56,0,0,19.73,0.28,0,0,0,6.48,4.23,0.28
21Day,0.37,0,1.11,0.74,0,0,0,0.37,1.11,0,0,3.7,1.48,0,0,0.37,30.71,31.82,0.37
22Month,0,0.41,0.41,0,0.14,0.27,0.55,0.27,0.41,0.27,0.27,0,0,0.14,0.14,0,4.65,0,0
