stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
72hpf,0,0,0,6.76,0,0,1.69,0.85,0,0,0.28,0
21Day,0.74,0.37,0,0,0.37,0.37,0.37,0.37,0.37,0,0,0.37
3Month,0.1,0,0,0,0.1,0,0,0,0,0.21,0,0
22Month,0,0,0.27,0,0,0,0,0,0,0,0,0
