stage,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Retinal_cell
24hpf,0,0,0,0,2,0,0
72hpf,0.28,0,0.28,0.85,0,0,0
21Day,0,0,0,0.37,0,0,0.37
3Month,0,0.1,0,0,0,0.1,0
