stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,7,2,73,0,0,0,0,0,0,3,0,0,0,0,0,7,1,14,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,0.28,26.49,3.1,0.85,0,0,0,0,0,0,0,0.28,0,1.13,35.51,0,13.81,0,0,0,0,10.71,5.64,0,0,7.61,0,0,1.13,0,0,0.85,0,0,0
21Day,2.59,0,49.21,1.48,2.96,0,0.37,0,0,0,0,0,2.96,0,0.74,22.94,0.37,40.7,0.37,0,2.59,0,7.03,5.18,0,1.11,15.54,2.22,0,1.48,0.74,0.74,0,0,0,0
3Month,0.21,0.31,22.26,0.31,0,0.21,0,1.04,0,0,3.95,0.73,0.31,0.21,2.29,13.73,0.94,12.07,0.83,0,4.78,0.21,0.1,0.31,0.21,0.73,0.21,0.52,0.42,0.21,0,0,0,1.46,0.31,0.52
22Month,0,0.27,4.65,1.23,0,0.55,0,1.09,2.19,0,10.52,0.27,1.23,0.41,0.82,5.33,0.96,3.14,0,0.27,2.46,0,0,0,0,0.14,0,0,0,0.68,0.14,0,0,0.27,0,0
