stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,1.69,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0.37,0,0.37,1.11,0,0,0,0,0,0,1.11,0.37,0,0.37,0.37,0,0,0,0.74,0,0,0,0,0,0.37,0.74,1.48,0,0,0,0
3Month,0,0.21,3.33,0.31,0,0.1,0.31,2.29,0.62,0,0.62,0,0.1,1.35,0.21,0.21,1.56,0.1,0.62,0,2.18,0,0,0.21,0.83,0,0,0.1,0.1,0.21,0.31
22Month,0,0.14,0.14,0.41,0,0,0,3.55,0.14,0.14,0.55,0,0,0.82,0.27,0,0.14,0,0.14,0,0.55,0.14,0.27,0.96,0.41,0,0,0.14,0,0,0
