stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.25,0,0,0,0,0,0,0,0,0.28,0.85,4.23,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,10.36,0,0,0.37,0,0,0,0,0,0.37,0,5.92,0,0.74,0,0,0.74,0,0.37,1.11,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.21,0.94,15.19,0.21,0.1,2.7,0.42,0,16.12,0.31,0,21.43,0.62,10.92,0.52,1.25,0,0.1,0.73,2.81,0.21,0,0.1,0,0,0.42,0.52,0,0,0,3.43,0.21
22Month,0.14,0.41,1.64,9.84,0,0.27,5.6,1.23,1.91,142.25,0.68,0.27,29.79,0.14,5.6,0.82,1.23,0.14,1.23,0.27,0.41,0,0,0.14,0.27,0.14,0.27,0.14,0.14,0.27,0.14,0.82,0.68
