stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,3.95,0,1.69,0,0,0,0,0.28,0,0,0,0,0.56,61.72,1.13,0,2.25,0,0.28,0,0,3.38,4.23,0.28,0,0,1.41,0.28,0,0.28,0,0.28,0,0,0
21Day,0,0.74,0,2.59,0,0,0.37,0.37,0,0,0,0,0,18.5,0.74,0.74,0.37,1.11,0,0,0,0,1.11,0.37,0,0,0,0.37,0.37,0,0,0.37,0.37,0,0,0
3Month,0.1,18.31,1.14,28.08,0.1,0.52,0,28.4,6.76,0,13.11,4.37,0.21,324.01,0.94,10.3,3.22,3.54,1.04,0.42,1.35,81.13,0.52,0.31,2.18,0.73,0,0.31,3.33,44.42,0.42,0,0.31,0.52,26.84,1.98
22Month,0,17.49,0.68,9.29,0,0.14,0.14,26.65,4.1,1.37,18.31,1.5,0.14,255.67,0.41,1.64,1.37,2.05,0,0.55,0.68,3.01,0.14,0.14,2.19,0.68,0.14,0.14,0.41,13.8,0.41,0,0,0,0.41,0.96
