stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0,0.28,0,0,1.13,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0.37,0.74,0,0,0.74,0,0,1.85,0,0,0,0,0
3Month,0.1,3.54,1.14,40.36,0.31,0.42,0.1,1.25,0.42,0,28.81,1.14,0,16.33,0.73,17.68,0.73,12.07,1.98,0.1,0.94,0.73,0.52,0.94,0.73,1.77,0.52,1.04,3.74,0.73,0.1,0.42,1.87,0.42,0.31
22Month,0,3.69,0.55,5.33,0.41,0.27,0,0.14,0.55,0.96,27.33,0.14,0.14,3.01,0,1.09,0.68,8.06,0.27,1.5,0.27,0,0.27,0.14,0.27,1.91,0.14,0,2.05,0.82,0,0,0.27,0,0.14
