stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,16,0,0,0,43,0,0,0,0,2,0,0,1,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0
72hpf,3.66,0.85,0,1.41,0.85,1.13,0,0,0,0,0,0.28,1.13,3.95,0.85,4.23,0,0,0,308.06,10.71,0,0,4.51,0.28,0,1.13,51.01,43.4,0,0,0.28
21Day,1.48,1.48,0.37,5.92,0.37,3.7,0,0,0.37,0.37,0.74,0.74,0.37,1.11,0.74,7.03,0,0.74,0,29.23,4.81,0,0.37,1.48,1.85,0,1.11,78.81,204.97,0.74,0,1.48
3Month,0,0.1,0,0.21,0,0,0.21,0,0.42,0,0,0,0.1,0,0.31,0.21,0,0,0.21,0.21,0,0.1,0,0.1,0,0.94,0,0.62,0.1,0,0.1,0
22Month,0,0.27,0,0.82,0,0,0.68,0,3.42,0.27,0,0.68,0,0,0.82,0.27,0.14,0.14,0,0,0,0,0,0,0.14,1.09,0.27,50.56,0.14,0,0,0
