stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0
72hpf,0.28,0,0,0,0,0,0.85,0,0,0
21Day,0,1.11,0,0,0,0.37,0.37,0.37,0,0
3Month,0,0.1,0.31,0.42,0.31,0,0,0,0.1,0.1
22Month,0,0,0.27,0.27,0,0.14,0,0,0,0
