stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0.28,0,0,0.28,0,0,3.95,0.56,0,0,0,0
21Day,0.74,0,0.74,0,0.37,0,0,0,0,0,0,0,0,0,4.44,0.37,0,0,0,0
3Month,0,0.1,0.62,0.1,1.46,0.21,0,0.21,0,0.21,0.1,0,0.1,0.1,8.95,0,0.1,0.1,0.31,0.1
22Month,0,0,0.14,0.14,1.09,0.14,0.14,0,0,0,0,0,0,0,3.42,0,0,0,0,0
