stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0,0,0,0,0.28,0.85,0,0.28,7.33,0.56,0,0.28,0,0,0
21Day,1.48,0,0,0.37,0,0.37,0,0,0.37,0,0.74,11.47,0.74,0,0,0.37,0.37,0
3Month,0.1,0,0.1,0,0.1,0,0,0,0,0.1,0.21,0.31,0,0,0,0,0,0.1
22Month,0,0,0,0.68,0,0,0.14,0,0,0,0,0.27,0,0.14,0,0,0,0
