stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0.28,0,0.28,0,6.76,0.28,0,0.28,0,0,0,0.28,0,0
21Day,0,0.74,0.37,0,0,0,0,0,1.48,0,0.74,0,1.11,0.74,0,0,0.37,0,0,0,0,0
3Month,0,2.18,2.08,0.21,1.25,0.21,0.31,0.83,0.42,0.21,0.42,0.21,0,0.1,0.21,0,0,0.62,0,0.1,0.1,0.21
22Month,0.14,0.27,0.68,0,2.19,0,0,0,0.14,0,0,0,0,0,0,0,0,0.68,0.14,0,0,0
