stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0.28,0.28,0,0
21Day,0.74,0,0,0,0,0,0.37,0,1.11,1.11,0,1.11,0.37,0,0,1.11,5.55,0,0
3Month,1.35,0.21,0.42,0.21,0.21,0.21,2.5,0.42,0.31,0,0.21,0,0,0.62,0,0,0,0.31,0.1
22Month,0.14,0,0.96,0,0,0,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0
