stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0.28,0,0.28,27.34,0,0,0,0,0,6.48,0,0,0,1.69,0.56,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,28.49,0,0,0,0,0.37,2.59,0,0,0.37,1.48,0.37,0,0,0,0.37,0,0,0.37,0,0.37
3Month,0,0.1,0.73,10.71,0.1,0.52,0.21,0.1,0,1.14,0.1,0.1,0,0,0,0.1,0,0,0.1,0.1,1.25,0,0.83,0
22Month,0,0,0,3.01,0.14,0.14,0,0.14,0,0.27,0,0,0,0,0,0,0,0.14,0,0,1.37,0,0,0
