stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,50.45,0,0.28,0.28,6.2,0,0,0,0,0.28,0,0.28,0,0.56,0.85,0,1.13,0,3.38,6.2,0,0,0,0.28,0,0,0.28,0,0,0,0,0
21Day,39.22,0,1.48,0,41.44,0,1.85,0,0,0,0,0.37,0.74,0.37,0.37,0.74,0.74,0,1.48,1.11,0,0.37,0,0.37,0.37,0.74,0,0.74,0.37,0,0,0.74
3Month,2.7,0.42,0.73,0.1,0,6.24,0,0.42,0.31,0.83,0.21,0.21,0.21,0,0,0.1,0.83,0.31,0.21,0.1,0.1,0.1,0,1.35,0,8.63,0,0,0,1.56,1.46,0.31
22Month,0.41,0.14,0,0,0,1.91,0,0,0,3.83,0.27,0,0.27,0.14,0,0.41,0.27,0,0,0,0.14,0,0.27,0,0.14,0.41,0,0,0,0,0,0
