stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72hpf,0.56,0.28,0.28,0,0,0,0,0,0.56,0,0.28,0,10.43,1.69,0,0.85,0.28,0,0
21Day,0,1.48,1.11,0,0,0.37,1.11,0,1.48,0.37,2.22,0.37,5.55,2.22,0.37,0.74,1.48,0,0
3Month,0,0.1,0,0.1,0,0,0,0,0.1,0,0.21,0,0,0,0,0,0,0.31,0
22Month,0,0,0,0,0.41,0.14,0,0.27,0,0,0.14,0,0,0,0,0,0,0,0
