stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0.28,0,0,0,0,0,0,0,2.25,0,0.85,0,0,3.1,1.13,0,0.28,0.85,0,0,0
21Day,0,0,2.59,0.74,0.37,0.37,0,0,0,0,0.37,0,5.55,0,9.25,0.37,1.48,1.48,0.37,0.37,2.22,0.74,0,0,0
3Month,0,0.21,2.08,0,0,0,0.1,0.42,0.62,0.1,0.1,0.42,0.94,0.62,8.11,1.98,0.21,0.1,0,0,0.21,0.1,0.31,0.1,0.21
22Month,0,0,1.37,0,0,0,0,0.14,1.91,0,0.14,0,0.27,0.14,2.32,0,0.27,0,0,0.14,0,0.14,0,0,0
