stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,0,0,21,0,0,0,0,1,0,0,0,0,0,0,1,1,0,40,0,0,0,0,12,301,0,0,1,0,0,0,0,0,0,0
72hpf,5.07,1.13,0,1.97,0.28,1.13,0,0,0,0,0,0,0,0.56,0,4.23,16.91,0.56,6.76,0,0.28,0,0,59.47,20.01,0.85,3.1,5.36,0.56,0,3.38,0,0,0,0
21Day,1.11,0.37,0,2.22,0,0.74,0,0.74,0,0,0,0,0,0,0,0.37,2.22,1.11,15.91,0,0,0.37,0,9.25,9.25,0,2.96,2.59,1.11,0,1.48,0,0.37,0,1.48
3Month,0.1,1.98,0.1,2.6,0.1,0,0.1,0,2.81,0.62,0,1.98,0.52,0.21,0.42,0.1,0.52,0.83,4.47,0.21,0,0.73,0.31,0.1,0,0.73,0.52,1.46,0,0.42,0,0.21,21.84,0.31,0.21
22Month,0.27,0.55,0,1.5,0.14,0,0,0,0.27,0.82,0.27,1.64,0,0.41,0.14,0,0.14,1.91,0.68,0,0,0,0,0,0,0,0,0.68,0.14,1.64,0.14,0,0.55,0,0
