stage,Epithelial_cell,Immune_progenitor_cell,Keratinocyte,Muscle_cell,Neural_progenitor_cell
24hpf,0,0,0,0,1
21Day,1.48,0.37,0.37,0,0
22Month,0,0,0,0.27,0
