stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,2,0,6,0,0,0,0,1,0,0,0,0,1,2,0,17,0,0,10,104,0,0,5,0,0,0,0,0,0
72hpf,0.28,0,1.41,0,0,0,0,0,0,0,0,0,0.85,1.97,0,0.56,0,0,3.95,6.76,0.28,0,0.85,0.28,0,0.28,0,0.28,0
21Day,1.48,0,0.74,0.74,0,0,0,0,0,0,0.37,0,0,0,0,4.81,0,0.37,1.11,2.96,0,0,1.11,0,0,0.37,0.37,0,0
3Month,0,0,0.21,0,0.1,0,0,0,0.42,0,0,0,0,0.21,0.1,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0.21
22Month,0,0.27,0.14,0,0.14,0.27,0.14,0,4.51,0.14,0,0.27,0,0.14,0,0.82,0.27,0,0,0,0.27,0.41,0.27,0,0,0,0,0,0
