stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,1.69,0.28,0,0,0,0,0
21Day,0,0.37,0.37,0,0,0.37,0,0,0,0.37,0,0,0.74,0,0.37,0,0,0.74,0,0,0.37,0,0,0
3Month,0,0,3.64,0.1,0.62,0.21,0,0.73,0.1,0,2.08,0.42,0.73,0.83,0.1,0,0.1,0,0,0,0,0.1,0.1,0.52
22Month,0,0,0.96,0,0,0,0.14,0.55,0.41,0,1.09,0,0,0.14,0.27,0.14,0,0,0,0.14,0,0,0,0
