stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,12,20,0,0,0,0,1,33,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.85,1.97,1.13,1.97,0.56,0,0,0,0,0,0,0,0,0,1.41,0.56,41.15,0,0,0.85,0,5.07,9.02,0,0,0,45.66,0,0,3.38,0,0.56,0,0,0
21Day,2.22,0.74,1.85,0.37,0.37,0,0,0.37,0,0.37,0,0.37,0,0.37,1.11,0.74,57.35,0,0,4.81,0,2.59,5.18,0,0.37,0,21.83,1.48,0,0.74,1.11,0.74,0,0,1.48
3Month,0.1,0.62,3.22,0,0,0,0.42,0.52,0.21,2.29,0.1,0.1,0.73,0.1,0.62,0.73,10.71,3.12,0,0.73,0.21,0.1,0,0.1,0,0,0.52,0.1,7.7,0,0,0,0.42,1.87,0.1
22Month,0,0.55,1.23,0,0,0.27,0,0.68,1.23,12.71,0.14,0.27,0.96,0,0.27,0.41,8.06,0,0.41,0.27,0,0.14,0,0,0,0.14,0.27,0.14,0.41,0,0,0,0,0,0.14
