stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,1.13,0,2.54,0.28,0.56,0.28,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0,0.74,0,0,0,0,0
3Month,0,0.1,0,0.1,0.31,0.21,0.31,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.21
22Month,0,0.14,0,0.14,2.6,0.14,0,0.14,0.14,0.14,0.14,0.14,0,0,0.14,0.14,0,0,0,0,0
