stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0
72hpf,0,0.28,0,0,0,0,0,0.56,0,0,0.28,0.56,0
21Day,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0.1,0,0,0,0,0,0,0,0,0,0,0
22Month,0.14,0,0,0.27,2.73,0.14,0.14,0.14,0.14,0.14,0,0,0.14
