stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.85,0,0.28,0.56,0,0,0,1.13,0.85,0,0,0.85,0,0,0.28,0,0,0
21Day,0.37,0,0.74,0,0,0,0,0,0,0,0,0,1.11,0,0.37,0,0.37,0,0.74,0,0,0,0,0,0.37,0,0,0,0
3Month,0,0.1,0.31,0.1,0,0.42,0,0,0.73,0.1,0.1,0.1,0.21,1.35,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0.1,0.73,0.1,0.1,1.87,0.21
22Month,0,0.27,0.68,0,0.27,0.27,0.27,0,6.01,0.27,0.14,0,0.14,0.55,0.82,0,0.14,0,0,0,0.14,3.69,0,0,0.96,0,0,0,0.27
