stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.85,0,0.28,0.56,0,0,0,0.28,20.86,0.28,0,0,0.28,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0,0,5.92,0.74,0.37,0,0.74,0,0,0
3Month,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0.21,0.1
22Month,0,0.14,0,0,0.27,0.14,0.27,0,0,0,0,0,0,0.14,0,0
