stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.13,0,1.13,0,0,0,4.23,1.69,0.28,0.56,0,0,0,0,0.28,0,0
21Day,0.74,0.37,1.48,0,0,0.37,0,0,0.37,0.37,1.48,0,0.37,0,2.96,0.74,0.37,0.74,1.11,0,0.37,0.37,0.37,0,0
3Month,0,0,0.62,0.1,0.1,0,0.73,0.1,0.31,0.21,0.42,0.1,0,0.21,0.1,0,0,0,0,0.73,0,0,0,0.1,0.1
22Month,0,0,0.14,0,0,0,1.09,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
