stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0
72hpf,0.28,0.28,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0.28,1.13,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0,0,0.37,0,0,0.74,0,0,0
3Month,0,0,0.31,0,0,0,0,0.52,0.1,0,0.1,0,0.1,0,0.21,0.1,0.1,0,0,0,0,0,0.1,0.1
22Month,0,0,0.41,0,0.27,0.41,0.55,11.89,0,0.14,1.09,0.14,0,0.41,1.37,0.14,1.64,0,0.14,0,0,0.14,0,0.55
