stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0.56,0,0,0,0,3.95,0.56,0,0,0,0,0,1.97,0,0,0,0,0
21Day,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,2.59,1.48,0,0,0,0,0,2.96,0,0,0,0,0
3Month,0.1,1.04,0,5.93,0.1,0,0.42,0.1,0.1,4.68,1.46,0,0,8.43,2.91,0.52,3.22,0.73,1.66,1.46,2.5,0.31,0.1,0.52,0.52,0.42,0,0.73,0.1,0,0.1,1.66,209.07,0.42,0.31,1.04,96.53,1.87
22Month,0,0.14,0.68,1.09,0,0,0,0,0.14,4.51,0.82,0.55,0,11.07,0.41,0,1.09,0.14,0.27,0.55,0.41,0.14,0.68,0.14,0.41,0.14,0.27,0.27,0,30.34,0.14,0.14,60.13,0.41,0,0.14,0.27,0.27
