stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.28,0,1.13,0.56,0,0,0,0
21Day,0.37,0,2.22,0,0.74,0,0,0,0,0.37,0,0,0.74,0.74,0,0,0.37,0.37,0.74,0,0.37,0.37
3Month,0,0.1,1.66,0.1,0,0.31,0.1,0.52,0,0.21,0.62,0,0.1,0.42,0.1,0,0,0,0,0.31,0,0.83
22Month,0,0.41,0,0,0,0.27,0.27,1.09,0.55,0.27,1.5,0.14,0.14,0.27,0,0.14,0.14,0,0,0,0,0
