stage,Cardiomyocyte,Endothelial_cell,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,1,0,0,0,0,0
72hpf,0.28,0,0,0.28,1.41,1.69,0.56
21Day,0.37,0,0,0,0,0.74,0
3Month,0,0,0.21,0,0,0,0
