stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6,5,12,0,0,0,0,141,0,0,0,0,0,1,0
72hpf,1.41,0.28,0,0.56,0.28,0,0.28,0,0,0,0,0,0,0,1.69,1.97,0.28,3.1,0,0.56,0.28,6.48,31,0,0,0.56,0,0,0,0
21Day,1.11,0,0,4.44,0.37,0,1.48,0,0,0,0.37,0,0,0,0.37,0.37,0.37,2.59,0,0,0,1.11,4.07,0,0,0.37,0.37,0.74,0,0
22Month,0.14,0.55,0.96,1.5,0,0.27,0.14,0.41,4.78,0.68,12.85,2.05,3.01,6.97,0.68,0.14,14.48,2.05,0.14,1.09,0.27,0,0,0.14,0.41,0,0.14,0,0,2.05
