stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,12,6,0,20,3,0,0,2,0,0,0,3,3,4,64,0,22,1438,3,13,0,0,0,0,0,0
72hpf,3.38,1.41,0,3.1,1.13,3.66,0,0,0,0,0,0.28,4.51,0.28,7.89,0,204.34,129.93,0,7.05,0,0,47.63,0,0.56,0
21Day,0.37,0.37,0.37,1.11,0,1.48,0.37,0,0,1.11,0.74,0.74,1.11,0,1.48,0.37,25.16,22.2,0,5.18,1.11,0.37,11.84,0.37,0.37,0
3Month,0,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0.1,0,0.1,0.21,0.1,0.21,0,0.1,0,0.1,0.1,0.83,0.21,0,0,1.66
22Month,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0.14,0,0,0,0,0,0,5.74,0,0,0,0
