stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,1.48,0,0,0,0,0,0,0,6.66,0,0.37,0,0,0,0,0.37,0,0,0
3Month,0,0.1,2.7,0.1,0.1,0.42,1.77,0.21,0.1,0.1,33.7,0.42,0.42,0.31,0.1,0.21,0.73,0,0.31,0.31,0.62
22Month,0.14,0.27,1.37,0,0,0.27,4.1,0,0.41,0,15.44,0.14,0.27,0,0,0,0,0,0,0,0
