stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,10,0,0,0,0,0,0,0,0,2,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.23,4.23,0,28.75,0.56,0.56,0,0,0,0,0.28,0.56,37.77,0,25.65,0,0,4.79,3.66,0.85,0.28,0,16.63,0,0,0.85,0,0.28,1.13,0,0,0
21Day,4.81,1.85,0.74,54.39,0.37,2.22,0,0.37,0,0,1.48,0.74,28.49,3.33,26.27,0,1.48,1.85,1.48,0.74,0,0,5.18,2.22,0.37,0.37,0.37,0.37,1.48,0.37,0,0
3Month,0,0.52,0,3.95,0,0,0.1,0.1,0.42,0.21,0,1.04,2.18,0.62,1.46,0,0.1,0,0,0.42,0.1,0,0,0,0.1,0,0,0,0,2.29,0.1,0.21
22Month,0,0,0,0.27,0,0,0,0,0.27,0,0.14,0,0,0.14,0.14,0.14,0,0,0,0.27,0,0.14,0,0,0,0,0,0,0,0,0,0
