stage,Goblet_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,1,1
72hpf,0,0,0,0.28,0.85,0
21Day,0,0,0.74,0.74,0,0
3Month,0.1,0,0.1,0,0,0
22Month,0,0.14,0,0,0,0
