stage,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,0,0,0,0.28,0,0,0,3.95,0.85,0,0.28,0
21Day,0,1.11,0,0,0,0.37,0,0,2.96,0,0,0.74,0
3Month,0.1,0,0.1,0.1,0,0.31,0.1,0,0,0,0.21,0,0.42
22Month,0,0,0.41,0.14,0,0.14,0,0.14,0,0,0.14,0,0
